name,address,city,specialty,website,mobile,map_link
Manipal Hospital,#1 Old Airport Road,Bangalore,Cardiology,https://www.manipalhospitals.com,+91 80 2502 2222,https://maps.google.com/?q=Manipal+Hospital+Bangalore
Fortis Hospital,#2 Bannerghatta Road,Bangalore,Oncology,https://www.fortishealthcare.com,+91 80 6621 4444,https://maps.google.com/?q=Fortis+Hospital+Bannerghatta+Bangalore
Apollo Hospital,#3 Sheshadripuram,Bangalore,Neurology,https://www.apollohospitals.com,+91 80 4033 4400,https://maps.google.com/?q=Apollo+Hospital+Sheshadripuram+Bangalore
Columbia Asia,#4 Hebbal,Bangalore,Pediatrics,https://www.columbiaasia.com,+91 80 4040 4000,https://maps.google.com/?q=Columbia+Asia+Hebbal+Bangalore
Narayana Health,#5 Hosur Road,Bangalore,Orthopedics,https://www.narayanahealth.org,+91 80 7122 2222,https://maps.google.com/?q=Narayana+Health+Hosur+Road+Bangalore
St. Johns Hospital,#6 Koramangala,Bangalore,Gastroenterology,https://www.stjohnshospitalblr.com,+91 80 4946 6000,https://maps.google.com/?q=St+Johns+Hospital+Koramangala+Bangalore
Sakra World Hospital,#7 Outer Ring Road,Bangalore,Endocrinology,https://www.sakraworldhospital.com,+91 80 4969 4969,https://maps.google.com/?q=Sakra+World+Hospital+Bangalore
Aster CMI Hospital,#8 Hebbal,Bangalore,Nephrology,https://www.asterbangalore.com,+91 80 4342 0100,https://maps.google.com/?q=Aster+CMI+Hospital+Hebbal+Bangalore
Vikram Hospital,#9 Millers Road,Bangalore,Dermatology,https://www.vikramhospital.com,+91 80 7107 7107,https://maps.google.com/?q=Vikram+Hospital+Millers+Road+Bangalore
Cloudnine Hospital,#10 Jayanagar,Bangalore,Gynecology,https://www.cloudninecare.com,+91 80 6799 7999,https://maps.google.com/?q=Cloudnine+Hospital+Jayanagar+Bangalore
Motherhood Hospital,#11 Indiranagar,Bangalore,Obstetrics,https://www.motherhoodindia.com,+91 80 6723 8900,https://maps.google.com/?q=Motherhood+Hospital+Indiranagar+Bangalore
Rainbow Children Hospital,#12 Marathahalli,Bangalore,Pediatrics,https://www.rainbowhospitals.in,+91 80 6720 5555,https://maps.google.com/?q=Rainbow+Children+Hospital+Marathahalli+Bangalore
BGS Global Hospital,#13 Kengeri,Bangalore,Hepatology,https://www.bgsglobalhospital.com,+91 80 2620 2200,https://maps.google.com/?q=BGS+Global+Hospital+Kengeri+Bangalore
Sri Jayadeva Institute,#14 Bannerghatta Road,Bangalore,Cardiology,https://www.jayadevacardiology.com,+91 80 2297 7000,https://maps.google.com/?q=Jayadeva+Institute+Bannerghatta+Bangalore
Kidwai Memorial Institute,#15 Hosur Road,Bangalore,Oncology,https://www.kidwai.karnataka.gov.in,+91 80 2609 4000,https://maps.google.com/?q=Kidwai+Memorial+Institute+Bangalore
Bowring and Lady Curzon,#16 Shivajinagar,Bangalore,General Medicine,https://www.bowringhospital.karnataka.gov.in,+91 80 2559 9999,https://maps.google.com/?q=Bowring+Lady+Curzon+Hospital+Bangalore
Victoria Hospital,#17 KR Market,Bangalore,Emergency Medicine,https://www.victoriahospital.karnataka.gov.in,+91 80 2670 1150,https://maps.google.com/?q=Victoria+Hospital+KR+Market+Bangalore
ESIC Hospital,#18 Rajajinagar,Bangalore,Pulmonology,https://www.esic.nic.in,+91 80 2332 0666,https://maps.google.com/?q=ESIC+Hospital+Rajajinagar+Bangalore
KC General Hospital,#19 Malleshwaram,Bangalore,General Surgery,https://www.kcgeneralhospital.karnataka.gov.in,+91 80 2334 0666,https://maps.google.com/?q=KC+General+Hospital+Malleshwaram+Bangalore
Sanjeevini Hospital,#20 Basaveshwaranagar,Bangalore,Urology,https://www.sanjeevinihospital.com,+91 80 2323 2323,https://maps.google.com/?q=Sanjeevini+Hospital+Basaveshwaranagar+Bangalore
Sparsh Hospital,#21 Infantry Road,Bangalore,Orthopedics,https://www.sparshhospital.com,+91 80 6122 2222,https://maps.google.com/?q=Sparsh+Hospital+Infantry+Road+Bangalore
Ramaiah Memorial Hospital,#22 Mathikere,Bangalore,Neurology,https://www.msrmh.com,+91 80 4050 4050,https://maps.google.com/?q=Ramaiah+Memorial+Hospital+Mathikere+Bangalore
Dr. Agarwal Eye Hospital,#23 Jayanagar,Bangalore,Ophthalmology,https://www.dragarwal.com,+91 80 4340 4340,https://maps.google.com/?q=Dr+Agarwal+Eye+Hospital+Jayanagar+Bangalore
Nethradhama,#24 Basavanagudi,Bangalore,Ophthalmology,https://www.nethradhama.org,+91 80 2667 2667,https://maps.google.com/?q=Nethradhama+Basavanagudi+Bangalore
Smile Dental,#25 HSR Layout,Bangalore,Dentistry,https://www.smiledental.in,+91 80 2572 2572,https://maps.google.com/?q=Smile+Dental+HSR+Layout+Bangalore
Dental Solutions,#26 Indiranagar,Bangalore,Dentistry,https://www.dentalsolutionsclinic.com,+91 80 4160 0521,https://maps.google.com/?q=Dental+Solutions+Indiranagar+Bangalore
Diacon Hospital,#27 Rajajinagar,Bangalore,Diabetology,https://www.diaconhospital.com,+91 80 2332 3333,https://maps.google.com/?q=Diacon+Hospital+Rajajinagar+Bangalore
Diabetes Care India,#28 Koramangala,Bangalore,Diabetology,https://www.diabetescareindia.com,+91 80 2552 2552,https://maps.google.com/?q=Diabetes+Care+India+Koramangala+Bangalore
Skinology,#29 JP Nagar,Bangalore,Dermatology,https://www.skinology.in,+91 80 2658 2658,https://maps.google.com/?q=Skinology+JP+Nagar+Bangalore
