disease,medicine,cost,annual_cost,symptoms,side_effects,drug_interactions
Malaria,Artemether-Lumefantrine,150,1800,fever;chills;vomiting,nausea;dizziness,quinine;rifampin
Dengue,Paracetamol,30,360,fever;rash;muscle pain,nausea;liver stress,aspirin;ibuprofen
Tuberculosis,Isoniazid,100,1200,cough;weight loss;night sweats,numbness;liver toxicity,phenytoin;carbamazepine
Typhoid,Ciprofloxacin,80,960,fever;abdominal pain;weakness,nausea;diarrhea,warfarin;theophylline
Cholera,Doxycycline,60,720,diarrhea;dehydration;vomiting,sensitivity;headache,antacids;iron
Hepatitis B,Tenofovir,200,2400,fatigue;jaundice;abdominal pain,nausea;renal toxicity,acyclovir;didanosine
Hepatitis C,Sofosbuvir,350,4200,fatigue;jaundice;joint pain,headache;insomnia,amiodarone;rifampin
COVID-19,Remdesivir,500,6000,fever;cough;breathlessness,nausea;increased liver enzymes,chloroquine;rifampin
Influenza,Oseltamivir,120,1440,fever;chills;sore throat,nausea;vomiting,probenecid;live vaccines
Pneumonia,Azithromycin,90,1080,cough;fever;chest pain,nausea;diarrhea,antacids;digoxin
Bronchitis,Amoxicillin,70,840,cough;fatigue;chest discomfort,rash;diarrhea,allopurinol;methotrexate
Sinusitis,Cefuroxime,85,1020,facial pain;nasal congestion;headache,nausea;diarrhea,probenecid;warfarin
Otitis Media,Amoxicillin-Clavulanate,95,1140,ear pain;fever;irritability,diarrhea;rash,methotrexate;allopurinol
Conjunctivitis,Chloramphenicol,40,480,red eyes;itching;discharge,stinging;blurred vision,alcohol;warfarin
Tonsillitis,Penicillin V,50,600,sore throat;fever;swollen glands,rash;diarrhea,methotrexate;oral contraceptives
Pharyngitis,Erythromycin,75,900,sore throat;fever;headache,nausea;vomiting,warfarin;digoxin
Gastroenteritis,ORS,20,240,diarrhea;vomiting;dehydration,none,none
GERD,Omeprazole,60,720,heartburn;acid reflux;chest pain,headache;nausea,clopidogrel;diazepam
Peptic Ulcer,Ranitidine,55,660,abdominal pain;nausea;indigestion,dizziness;constipation,ketoconazole;warfarin
IBS,Hyoscine,65,780,abdominal cramps;bloating;diarrhea,dry mouth;blurred vision,antihistamines;tricyclics
Constipation,Lactulose,45,540,hard stools;bloating;straining,flatulence;cramps,antacids;antibiotics
Diarrhea,Loperamide,35,420,loose stools;urgency;cramps,drowsiness;dry mouth,quinidine;ritonavir
Hemorrhoids,Hydrocortisone,50,600,itching;pain;bleeding,skin thinning;burning,none
Anal Fissure,Nifedipine ointment,70,840,pain;bleeding;spasm,headache;dizziness,beta-blockers;diuretics
UTI,Nitrofurantoin,80,960,burning urination;fever;urgency,nausea;headache,antacids;quinolones
Kidney Stones,Tamsulosin,90,1080,flank pain;blood in urine;nausea,dizziness;fatigue,antihypertensives;antifungals
Prostatitis,Ciprofloxacin,85,1020,pelvic pain;urinary issues;fever,nausea;diarrhea,warfarin;theophylline
BPH,Finasteride,100,1200,weak stream;urgency;nocturia,sexual dysfunction;dizziness,testosterone;antidepressants
Erectile Dysfunction,Sildenafil,150,1800,difficulty maintaining erection;low libido,headache;flushing,nitrates;alpha-blockers
Infertility,Clomiphene,130,1560,irregular cycles;low sperm count;hormonal imbalance,hot flashes;ovarian cysts,tamoxifen;gonadotropins
PCOS,Metformin,60,720,irregular periods;acne;weight gain,bloating;diarrhea,insulin;alcohol
Endometriosis,Leuprolide,250,3000,pelvic pain;heavy periods;infertility,hot flashes;mood swings,antidepressants;antihypertensives
Menopause,HRT,200,2400,hot flashes;mood changes;vaginal dryness,nausea;breast tenderness,anticoagulants;thyroid meds
Pregnancy,Nutritional supplements,40,480,nausea;fatigue;back pain,none,none
Anemia,Ferrous Sulfate,50,600,fatigue;pale skin;dizziness,constipation;dark stools,antacids;levodopa
Thalassemia,Deferasirox,300,3600,fatigue;bone deformities;slow growth,nausea;rash,antacids;NSAIDs
Sickle Cell Disease,Hydroxyurea,220,2640,pain;fatigue;swelling,nausea;hair loss,antivirals;live vaccines
Leukemia,Imatinib,400,4800,fever;weight loss;bleeding,nausea;muscle cramps,acetaminophen;warfarin
Lymphoma,Rituximab,500,6000,swollen lymph nodes;fever;night sweats,infusion reactions;fatigue,methotrexate;live vaccines
Multiple Myeloma,Bortezomib,550,6600,bone pain;fatigue;frequent infections,nausea;neuropathy,acyclovir;NSAIDs
Skin Allergy,Loratadine,30,360,itching;rash;redness,drowsiness;dry mouth,alcohol;sedatives
Eczema,Hydrocortisone cream,45,540,dry skin;itching;red patches,skin thinning;burning,none
Psoriasis,Methotrexate,200,2400,scaly patches;itching;joint pain,nausea;liver toxicity,NSAIDs;antibiotics
Acne,Isotretinoin,180,2160,pimples;oiliness;inflammation,dry skin;photosensitivity,tetracyclines;vitamin A
Rosacea,Metronidazole gel,90,1080,redness;bumps;burning sensation,stinging;dryness,warfarin;disulfiram
Vitiligo,Topical steroids,100,1200,white patches;sun sensitivity;itching,skin thinning;stretch marks,none
Fungal Infection,Clotrimazole,40,480,itching;redness;scaling,skin irritation;burning,none
Ringworm,Terbinafine,60,720,itching;scaly patches;hair loss,nausea;headache,antidepressants;beta-blockers
Scabies,Permethrin,50,600,intense itching;rash;burrows,skin irritation;burning,none
Lice,Ivermectin lotion,70,840,itching;visible lice;red bumps,skin irritation;dryness,none
Warts,Salicylic acid,35,420,raised bumps;rough texture;itching,skin peeling;burning,none
Astigmatism,Corrective lenses,500,6000,blurred vision;eye strain;headache,none,none
Cataract,Timolol eye drops,120,1440,cloudy vision;glare;poor night vision,eye irritation;dryness,other eye drops;beta-blockers
Glaucoma,Latanoprost,150,1800,eye pain;vision loss;halos,eye redness;itching,NSAIDs;antihistamines
Macular Degeneration,Bevacizumab,400,4800,central vision loss;blurred vision;distortion,eye pain;bleeding,anticoagulants;aspirin
Retinitis Pigmentosa,Vitamin A,60,720,night blindness;tunnel vision;vision loss,nausea;dry skin,antibiotics;retinoids
Color Blindness,None,0,0,difficulty distinguishing colors;eye strain,none,none
Dry Eye Syndrome,Artificial tears,40,480,dryness;burning;redness,blurred vision;stinging,none
Pink Eye,Antibiotic drops,50,600,redness;itching;discharge,eye irritation;blurred vision,none
Stye,Warm compress,10,120,painful lump;swelling;redness,none,none
Blepharitis,Erythromycin ointment,70,840,itching;scaling;red eyelids,eye irritation;blurred vision,warfarin;digoxin
Tinnitus,Ginkgo biloba,90,1080,ringing ears;dizziness;hearing loss,nausea;headache,anticoagulants;aspirin
Hearing Loss,Hearing aids,1000,12000,difficulty hearing;social withdrawal;confusion,none,none
Otitis Externa,Acetic acid drops,60,720,ear pain;itching;discharge,stinging;burning,none
Vertigo,Betahistine,80,960,dizziness;nausea;balance issues,headache;stomach upset,antihistamines;sedatives
Meniere’s Disease,Diuretics,100,1200,vertigo;hearing loss;tinnitus,dizziness;dehydration,NSAIDs;ACE inhibitors
Motion Sickness,Dimenhydrinate,45,540,nausea;vomiting;dizziness,drowsiness;dry mouth,alcohol;sedatives
Migraine,Sumatriptan,120,1440,headache;nausea;light sensitivity,drowsiness;dry mouth,SSRIs;MAOIs
Tension Headache,Ibuprofen,30,360,headache;neck pain;fatigue,stomach upset;dizziness,anticoagulants;aspirin
Cluster Headache,Oxygen therapy,200,2400,severe headache;red eye;nasal congestion,none,none
Epilepsy,Carbamazepine,150,1800,seizures;confusion;loss of consciousness,drowsiness;rash,MAOIs;antidepressants
Parkinson’s Disease,Levodopa,250,3000,tremor;rigidity;slow movement,nausea;hallucinations,antipsychotics;MAOIs
Alzheimer’s Disease,Donepezil,300,3600,memory loss;confusion;behavioral changes,nausea;insomnia,anticholinergics;NSAIDs
Multiple Sclerosis,Interferon beta,400,4800,numbness;fatigue;vision problems,flu-like symptoms;depression,antidepressants;immunosuppressants
ALS,Riluzole,350,4200,muscle weakness;slurred speech;difficulty swallowing,nausea;dizziness,NSAIDs;antidepressants
Stroke,Aspirin,60,720,weakness;speech issues;vision loss,bleeding;stomach upset,anticoagulants;NSAIDs
Brain Tumor,Temozolomide,500,6000,headache;nausea;seizures,fatigue;hair loss,antivirals;antibiotics
Bell’s Palsy,Prednisone,100,1200,facial droop;eye dryness;drooling,weight gain;mood changes,NSAIDs;diuretics
Cerebral Palsy,Physical therapy,300,3600,motor issues;spasticity;coordination problems,none,none
Hydrocephalus,Shunt surgery,1000,12000,headache;nausea;vision problems,none,none
Encephalitis,Acyclovir,200,2400,fever;confusion;seizures,nausea;headache,NSAIDs;antibiotics
Meningitis,Ceftriaxone,180,2160,fever;neck stiffness;photophobia,nausea;diarrhea,antacids;warfarin
Brain Abscess,Metronidazole,150,1800,headache;fever;neurological deficits,nausea;metallic taste,warfarin;disulfiram
Schizophrenia,Risperidone,250,3000,delusions;hallucinations;social withdrawal,weight gain;sedation,antidepressants;antihypertensives
Bipolar Disorder,Lithium,220,2640,mood swings;mania;depression,tremor;weight gain,NSAIDs;diuretics
Depression,Sertraline,180,2160,sadness;fatigue;loss of interest,nausea;insomnia,MAOIs;NSAIDs
Anxiety,Alprazolam,160,1920,nervousness;restlessness;palpitations,drowsiness;dependence,alcohol;sedatives
OCD,Fluoxetine,190,2280,obsessions;compulsions;anxiety,nausea;insomnia,MAOIs;NSAIDs
PTSD,Paroxetine,200,2400,flashbacks;nightmares;hypervigilance,nausea;sexual dysfunction,MAOIs;anticoagulants
Autism,Behavioral therapy,400,4800,communication issues;repetitive behavior;social challenges,none,none
ADHD,Methylphenidate,220,2640,inattention;hyperactivity;impulsivity,insomnia;loss of appetite,MAOIs;antidepressants
Insomnia,Zolpidem,150,1800,difficulty sleeping;daytime fatigue,drowsiness;dependence,alcohol;sedatives
Narcolepsy,Modafinil,250,3000,excessive sleepiness;cataplexy;hallucinations,headache;nausea,MAOIs;antidepressants
Sleep Apnea,CPAP therapy,800,9600,loud snoring;daytime fatigue;gasping,none,none
Restless Leg Syndrome,Pramipexole,180,2160,urge to move legs;tingling;discomfort,nausea;dizziness,antidepressants;antipsychotics
Jet Lag,Melatonin,60,720,sleep disruption;fatigue;irritability,drowsiness;headache,sedatives;antidepressants
Seasonal Affective Disorder,Light therapy,300,3600,low mood;fatigue;oversleeping,none,none
Panic Disorder,Clonazepam,200,2400,sudden fear;palpitations;shortness of breath,drowsiness;dependence,alcohol;sedatives
Social Anxiety Disorder,Venlafaxine,220,2640,shyness;fear of judgment;avoidance,nausea;dry mouth,MAOIs;NSAIDs
Generalized Anxiety Disorder,Buspirone,180,2160,excessive worry;restlessness;fatigue,dizziness;nausea,MAOIs;antidepressants
Hypertension,Amlodipine,45,540,headache;dizziness;chest pain,swelling;fatigue,simvastatin;diltiazem
Hyperlipidemia,Atorvastatin,60,720,high cholesterol;fatigue;chest pain,muscle pain;liver issues,grapefruit;antibiotics
Coronary Artery Disease,Aspirin,50,600,chest pain;shortness of breath;fatigue,bleeding;stomach upset,NSAIDs;warfarin
Heart Failure,Furosemide,70,840,swelling;fatigue;shortness of breath,dizziness;dehydration,ACE inhibitors;NSAIDs
Arrhythmia,Amiodarone,150,1800,irregular heartbeat;palpitations;dizziness,nausea;vision changes,warfarin;digoxin
Angina,Nitroglycerin,80,960,chest pain;shortness of breath;nausea,headache;flushing,sildenafil;antihypertensives
Myocardial Infarction,Clopidogrel,120,1440,chest pain;sweating;shortness of breath,bleeding;rash,NSAIDs;omeprazole
Peripheral Artery Disease,Cilostazol,100,1200,leg pain;cramping;fatigue,headache;diarrhea,aspirin;warfarin
Deep Vein Thrombosis,Warfarin,90,1080,leg swelling;pain;warmth,bleeding;bruising,NSAIDs;antibiotics
Pulmonary Embolism,Heparin,130,1560,chest pain;shortness of breath;cough,bleeding;low platelets,aspirin;NSAIDs
Aortic Aneurysm,Beta-blockers,110,1320,chest pain;back pain;shortness of breath,dizziness;fatigue,calcium channel blockers;diuretics
Varicose Veins,Compression stockings,60,720,swelling;aching;visible veins,skin irritation;discomfort,none
Raynaud’s Disease,Nifedipine,90,1080,cold fingers;color changes;numbness,headache;dizziness,beta-blockers;diuretics
Anemia,Ferrous Sulfate,50,600,fatigue;pale skin;dizziness,constipation;dark stools,antacids;levodopa
Hemophilia,Factor VIII concentrate,400,4800,bleeding;bruising;joint pain,headache;fever,none
Thrombocytopenia,Prednisone,100,1200,bleeding;bruising;fatigue,weight gain;mood changes,NSAIDs;diuretics
Leukopenia,Filgrastim,300,3600,infections;fever;fatigue,bone pain;headache,none
Polycythemia Vera,Hydroxyurea,220,2640,headache;dizziness;itching,nausea;hair loss,antivirals;live vaccines
